breast_cancer,svm,grid_search,0.9775822005344488,0.003641723906918017,25,0.3212433815002441,"{'C': 10, 'gamma': 0.01}"
breast_cancer,random_forest,grid_search,0.9619713605205066,0.0024116091024193897,60,12.501378560066223,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
digits,svm,grid_search,0.9908141962421713,0.0021061581002674856,25,1.9467928647994994,"{'C': 1, 'gamma': 0.001}"
digits,random_forest,grid_search,0.9750173973556018,0.0015700089314792632,60,19.750001311302185,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}"
breast_cancer,svm,random_search,0.977579295921924,0.0037779385215017513,25,0.33979766368865966,"{'C': 84.30919651961898, 'gamma': 0.003942568208707973}"
breast_cancer,random_forest,random_search,0.9628514581154872,0.0028632721642404624,60,14.211174917221069,"{'max_depth': 17, 'min_samples_split': 2, 'n_estimators': 62}"
digits,svm,random_search,0.9892136395267919,0.002046686314523722,25,1.7746372461318969,"{'C': 24.335817588808077, 'gamma': 0.0002082485125344959}"
digits,random_forest,random_search,0.9745302713987474,0.0017102582780020256,60,19.287916684150694,"{'max_depth': 16, 'min_samples_split': 2, 'n_estimators': 228}"
breast_cancer,svm,nelder_mead,0.9738439642151736,0.002844437379175378,18,0.500959324836731,"{'C': 1.0005758119893609, 'gamma': 0.012589254117941675}"
breast_cancer,random_forest,nelder_mead,0.9621892064598582,0.001915990504522548,65,18.805515384674074,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}"
digits,svm,nelder_mead,0.9908837856645791,0.0018266394917755152,32,2.6558085918426513,"{'C': 0.9968389521625052, 'gamma': 0.0007943282347242919}"
digits,random_forest,nelder_mead,0.9746694502435629,0.0015622786583607295,82,26.93092453479767,"{'n_estimators': 118, 'max_depth': 12, 'min_samples_split': 2}"
